run_name,split,n,model_key,prompt_style,temperature,k,greedy_correct,greedy_accuracy,oracle_correct,oracle_accuracy,valid_answers,total_answers,selector,selected_correct,selected_accuracy,mcnemar_p_vs_greedy
screen_fewshot_t04,development,8,qwen0.5b,chat-fewshot,0.4,4,3,37.5,6,75.0,32,32,majority,4,50.0,1.0
screen_fewshot_t04,development,8,qwen0.5b,chat-fewshot,0.4,4,3,37.5,6,75.0,32,32,verifier,4,50.0,1.0
screen_fewshot_t07,development,8,qwen0.5b,chat-fewshot,0.7,4,3,37.5,4,50.0,32,32,majority,2,25.0,1.0
screen_fewshot_t07,development,8,qwen0.5b,chat-fewshot,0.7,4,3,37.5,4,50.0,32,32,verifier,2,25.0,1.0
screen_check_t04,development,8,qwen0.5b,chat-check,0.4,4,0,0.0,2,25.0,30,32,verifier,2,25.0,0.5
screen_check_t04,development,8,qwen0.5b,chat-check,0.4,4,0,0.0,2,25.0,30,32,majority,1,12.5,1.0
screen_concise_t04,development,8,qwen0.5b,chat-concise,0.4,4,0,0.0,2,25.0,31,32,verifier,1,12.5,1.0
screen_concise_t07,development,8,qwen0.5b,chat-concise,0.7,4,0,0.0,1,12.5,32,32,verifier,1,12.5,1.0
screen_concise_t04,development,8,qwen0.5b,chat-concise,0.4,4,0,0.0,2,25.0,31,32,majority,0,0.0,1.0
screen_concise_t07,development,8,qwen0.5b,chat-concise,0.7,4,0,0.0,1,12.5,32,32,majority,0,0.0,1.0
screen_check_t07,development,8,qwen0.5b,chat-check,0.7,4,0,0.0,0,0.0,32,32,majority,0,0.0,1.0
screen_check_t07,development,8,qwen0.5b,chat-check,0.7,4,0,0.0,0,0.0,32,32,verifier,0,0.0,1.0
