,GPT-5.6 Sol,GPT-5.6 Terra,GPT-5.6 Luna,GPT-5.5,Claude Fable 5,Claude Opus 4.8
Agents' Last Exam,100.0,95.63567362428842,95.4459203036053,88.9943074003795,76.85009487666034,85.7685009487666
GDPval-AA v2,99.32939304387361,90.53193907706297,90.46374175949079,84.88861104796545,100.0,90.93543987269834
Consulting (internal),100.0,86.11111111111111,81.94444444444443,72.4537037037037,82.17592592592592,73.14814814814815
AA Intelligence Index,98.33055091819699,91.81969949916528,85.47579298831386,91.48580968280467,100.0,92.98831385642738
AA Coding Agent Index,100.0,96.75,93.24999999999999,95.5,96.50000000000001,90.625
SWE-bench Pro,80.74999999999999,79.25,78.375,74.25,100.0,86.5
DeepSWE v1.1,100.0,95.73590096286107,92.43466299862449,92.1595598349381,95.87345254470426,81.15543328748281
Terminal-Bench 2.1,100.0,98.42342342342343,95.3828828828829,96.39639639639638,93.58108108108108,88.85135135135135
GPQA Diamond,100.0,98.20295983086682,97.56871035940804,98.94291754756871,97.88583509513742,97.25158562367865
FrontierMath T1-3,100.0,95.3932584269663,88.31460674157303,95.84269662921348,97.75280898876404,89.8876404494382
FrontierMath T4,94.53302961275627,77.79043280182232,66.62870159453304,82.57403189066059,100.0,63.89521640091117
AutomationBench,100.0,83.97790055248618,82.32044198895028,71.27071823204419,96.13259668508286,85.63535911602209
Toolathlon,94.0032414910859,86.06158833063209,86.54781199351702,90.11345218800648,100.0,97.08265802269042
gdp.pdf,100.0,80.45602605863192,73.9413680781759,84.69055374592834,97.06840390879479,73.28990228013029
